x,y,label
3.0551809443557008,6.888871631124242,left_eye
3.1662949910066103,4.288445581880258,smile
2.9946669782328423,6.848968069976448,left_eye
6.152849392959605,6.972713943502023,right_eye
0.35231215772043445,5.839096435767615,head
3.186103518160267,3.0552053181481096,noise
2.6934603579684806,7.158776835844235,left_eye
3.118587048492935,3.3386872904407197,smile
5.949060897149488,6.724309757858817,right_eye
3.024155540988631,8.73344433538221,head
3.098648934082128,3.8834142037362116,smile
3.011213115354664,4.253762944683281,smile
2.6331869996389266,7.060865686158212,left_eye
4.519191113298375,0.6844608510309023,head
8.358706100990743,5.963427940634764,head
8.507267492677126,4.148589496512944,head
7.22986366971937,7.69177657281441,head
5.555415671213408,3.4066351388578,smile
8.172287124008415,2.9517953208270855,head
6.529497506100803,8.599017629698107,head
6.236618293911463,1.58216209457443,head
2.8638022211156193,7.032261066544159,left_eye
4.385820052209012,9.08067528083151,head
2.6887790812046544,7.191999097021599,left_eye
4.683270594373002,0.7622960762279032,head
8.856418901937374,2.6109297330327195,noise
0.5533510923900704,6.317430654419381,head
1.3791851081047448,7.822534974092365,head
6.302069392012404,8.521796097858065,head
2.944579833576552,1.629793629163761,head
5.690310072311008,3.987469765332872,smile
3.475333665188404,1.206908503736365,head
4.144971292989226,9.261653594564482,head
0.4658368251860656,6.603990842529322,head
2.415114022485188,7.075537395792971,left_eye
3.5493654711331546,4.084150803377279,smile
2.994965591513128,7.005836889108168,left_eye
6.032763434000529,3.2232914102943715,smile
2.958844346731476,6.884740409116178,left_eye
2.9796226783661837,7.135062220508362,left_eye
1.0752514297064457,6.7177326506259,head
3.102521622308332,7.080250765948705,left_eye
2.873571391604892,4.23253836928884,smile
2.658804374840279,6.8543975301794875,left_eye
3.2087682129261643,9.194858132177462,head
5.893450417123609,7.256564144998853,right_eye
7.975015493284099,3.441529387175506,head
1.1521957459558627,7.086517838417052,head
1.9003085401858462,7.87240688162335,head
3.198603343659906,3.5260319264445434,smile
1.6125780584954352,7.885025973228844,head
6.173187206456688,4.0013420411828475,smile
3.9884151806376287,3.0306690843649986,smile
0.7281980602794351,6.26277957193229,head
6.902171779326181,1.4278143340558378,head
3.4674637674454942,4.014329814758984,smile
8.31360068113419,5.368318868524503,head
2.5906624275099936,1.1108718013526762,head
5.841855370111633,6.999635538923267,right_eye
7.511063362731105,2.584727810353272,head
5.099330930731352,3.175826462462374,smile
4.8032969028412715,8.697589453446835,head
5.944516789312463,4.246835513379678,smile
7.929530770665207,3.425031319005454,head
5.599108712657089,3.5689512266271555,smile
6.956649406871721,1.8141456632545951,head
6.149838660408951,8.509860596950814,head
4.103926269558132,8.722645058652498,head
5.456642049546218,3.5924170873991934,smile
6.222844461821193,6.627834822763947,right_eye
4.502272336136793,1.1527768608311177,head
3.306643720313783,7.455894579719248,left_eye
5.857061084811341,6.973423659044128,right_eye
4.660336193721089,0.8237588837411121,head
0.5185429030494073,6.511071136440557,head
0.5287912726544879,4.191248081817449,head
0.39679725178417247,4.098339200545658,head
